// Reference=MNI
// Rubia K, 2001: Generic Go/No-Go Activation
// Subjects=15
-36.09	24.2	35.58
50.4	27.38	27.63
-51.25	13.26	5.45
44.07	7.25	29.39
4.51	37.56	39.57
-1.78	4.75	42.39
4.62	20.1	47.72
-54.29	33.61	35
53.94	-48.22	40.62
-39.25	-78.55	0.74
19.86	-68.09	48.25
-11.1	-62.47	54.83

// Rubia K, 2001: Generic Stop Activation
// Subjects=15
53.46	5	-.64
43.83	20.17	3.77
-41.68	12.89	-.21
53.91	-39.76	39.91
4.71	8.9	54.24
7.7	30.81	34.52

// Rubia K, 2001: Activation Common to All Go/No-Go and Stop Task Versions
// Subjects=15
-51.29	12.83	-0.09
53.46	5	-.64
47.32	7.79	36
4.47	37.14	34.03
4.58	19.59	41.08
4.64	16.93	47.99
50.71	-39.78	39.95
-51.03	-44.9	10.32
66.41	-27.71	1.95

// Rubia K, 2001: Differences Between Generic Go/No-Go and Stop Task 
// Activations
// Subjects=15
-32.84	10.48	36.69
-54.07	-25.6	39.96
-4.99	4.73	42.43

// Watanabe J, 2002: Areas Activated During Preparation Phase
// Subjects=11
-44	-8	52
-24	-84	18
46	6	36
20	-74	-12
6	12	40

// Watanabe J, 2002: Areas Activated During GO Phase
// Subjects=11
-34	-8	60
-12	-14	6
14	-52	-26
6	-10	4
4	18	26

// Watanabe J, 2002: Areas Activated During NO-GO Phase
// Subjects=11
-34	56	18
-44	-6	38
-30	-60	42
34	50	18
46	-72	-2

// Watanabe J, 2002: Specific Activation Areas During GO Phase
// Subjects=11
-32	-8	62
-16	-14	4
14	-52	-26
4	-10	6
2	22	24

// Watanabe J, 2002: Specific Activation Areas During NO-GO Phase
// Subjects=11
-30	54	24
-28	-62	40
30	46	14
44	-74	2

// Braver T S, 2001: Conjunction Analysis
// Subjects=14
38.46	47.35	11.59
38.42	17.25	-5.96
-33.15	17.08	-1.77
3.6	8.47	48.71
61.31	-47.17	25.95
42.25	-38.89	52.24
13.48	-67.87	51.65
-6.78	-67.48	58.54
-26.72	-65.01	-31.76

// Braver T S, 2001: Disjunction Analysis
// Subjects=14
35.37	45.18	25.19
48.28	13.28	24.37
54.56	8.6	4.62
13.03	23.1	30.65
16.49	12.49	58.26
57.95	-55.34	3.25
29.38	-69.06	34.84
54.95	-40.1	35.47
-58.33	-47.38	34.03
16.72	-70.76	55.2
35.99	-53.76	66.94
3.7	2.89	59.21
-.66	-1.33	46.24
-35.78	-26.41	55.43
-49.07	-4.96	3.6
-55.25	-25.67	25.48
-36.16	-76.47	-13.97
35.13	-57.21	-46.51
22.97	-6.51	59.78

// Garavan H, 2002: Successful NoGos
// Subjects=14
48.41	-18.36	28.14
40.98	9.58	45.96
54.68	-4.46	14.64
7.95	1.6	55.93
3.61	-14.51	40.6
11.07	-25.64	33.64
-5.04	-25.54	22.67
53.64	45.26	38.36
36.44	63.94	33.64
61.8	47.89	-11.02
8.54	16.45	0.03
-10.67	15.44	2.57
25.72	-5.74	0.58
-15.97	0.52	2.76
51.32	-11.56	-8.15
-28.75	-13.39	2.96

// Garavan H, 2002: Errors
// Subjects=14
46.31	3.98	41.91
-46.74	1.42	30.92
-18.82	12.99	54.16
6.84	-5.43	47.61
55.75	46.16	36.03
-52.18	31.17	30.72
62.92	47.35	-4.3
-51.47	62.61	-3.15
-52.55	72.38	-.61
41.73	-11.28	-3.6
-33.01	-13.33	4.12
19.31	-6.84	0.74
-5.28	0.59	2.63
7.47	22.95	1.73
9.52	31.97	-5.74

// Kawashima R, 1996: Go/NoGo Task - Control Task
// Subjects=9
-36.84	-14.18	62.23
-28.37	-18.25	50.2
-22.93	-8.47	66.05
-13.31	-13.87	64.16
-52.12	-1.15	25.62
-5.77	-16.49	70.98
-52.07	-31.36	20.35
-65.91	-50.73	18.79
-19.97	-58.2	14.43
-37.24	-77.71	-16.08
-4.86	-6.05	54.49
-35.18	-79.61	-27.1
5.97	-13.24	70.58
5.8	-42.51	36.23
41.97	-48.32	12.88
42.17	-81.47	24.58
28.95	-59.25	-17.27
29.97	-65.3	-26.82
-45.49	-12.01	49.88
